YEAR,Day of the Year,Relative Huminidity,Precipitation (mm/day),Temperature at 2 Meters Maximum ©, Temperature at 2 Meters Minimum ©,Temperature at 2 Meters Range ©
1981,182,91.67,70.24,29.01,25.99,3.02
1981,183,89.04,42.67,29.86,26.67,3.19
1981,184,90.44,27.48,30.29,26.68,3.61
1981,185,86.97,14.46,30.7,26.42,4.28
1981,186,87.88,6.62,29.81,26,3.81
1981,187,86.29,1.96,30.62,26.16,4.46
1981,188,87.48,5.38,30.27,25.41,4.86
1981,189,86.83,9.27,30.66,25.56,5.1
1981,190,86.62,14.04,30.08,25.88,4.2
1981,191,87.5,11.44,30.12,25.9,4.22
1981,192,89.71,8.86,29.53,25.55,3.98
1981,193,89.48,4.7,28.64,25.5,3.14
1981,194,88.09,8.79,29.95,25.71,4.24
1981,195,89.63,13.21,29.9,25.82,4.08
1981,196,87.81,8.84,30.58,26.02,4.56
1981,197,89.09,6.1,29.73,26.26,3.47
1981,198,89.88,31.65,29.67,25.98,3.69
1981,199,89.76,51.25,29.04,25.82,3.22
1981,200,88.74,22.95,28.02,25.77,2.25
1981,201,85.81,18.98,31.53,25.27,6.26
1981,202,89.54,13.19,30.58,25.78,4.8
1981,203,88.18,38.56,29.63,25.79,3.84
1981,204,88.36,29.31,30.39,25.41,4.98
1981,205,86.77,0.76,31.12,25.87,5.25
1981,206,89.52,2.67,30.03,25.89,4.14
1981,207,91.54,10.55,29.21,26,3.21
1981,208,88.76,51.87,29.84,25.62,4.22
1981,209,88.45,5.67,30.37,25.3,5.07
1981,210,88.47,2.75,30.06,25.86,4.2
1981,211,88.95,8,28.73,25.81,2.92
1981,212,87.96,18.81,30.19,25.35,4.84
1981,213,85.89,10.74,30.3,25.36,4.94
1981,214,87.74,11.15,30.45,25.52,4.93
1981,215,88.44,11.37,30.67,25.68,4.99
1981,216,88.78,6.76,30.56,25.49,5.07
1981,217,89.31,3.14,30.91,25.81,5.1
1981,218,88.68,4.74,31.08,26.17,4.91
1981,219,87.47,9.78,31.15,25.65,5.5
1981,220,87.03,7.76,30.22,25.47,4.75
1981,221,89.71,17.82,29.6,25.5,4.1
1981,222,88.67,35.84,30.01,25.62,4.39
1981,223,89.66,17.03,30.11,25.88,4.23
1981,224,91.08,11.56,30.38,26.82,3.56
1981,225,88.39,5.84,31.15,26.18,4.97
1981,226,89.27,10.27,30.74,25.52,5.22
1981,227,88.99,0.13,30.8,25.54,5.26
1981,228,88.36,2.98,30.3,25.6,4.7
1981,229,88.65,3.84,29.95,25.49,4.46
1981,230,89.46,3.63,29.83,25.78,4.05
1981,231,89.78,3.26,30.46,25.91,4.55
1981,232,88.49,6.96,30.75,26,4.75
1981,233,92.68,28.03,28.91,26.33,2.58
1981,234,89.38,8.82,30.31,25.68,4.63
1981,235,88.22,14.6,29.45,25.37,4.08
1981,236,87.85,20.14,30.08,25.79,4.29
1981,237,88.37,17.12,30.04,26.14,3.9
1981,238,86.89,6.21,30.11,25.89,4.22
1981,239,88.05,3.3,28.97,25.69,3.28
1981,240,87.16,8.49,29.98,25.57,4.41
1981,241,88,16.81,30.55,25.46,5.09
1981,242,87.07,1.05,30.88,25.85,5.03
1981,243,88.4,0.14,30.52,25.47,5.05
1981,244,88.83,1.88,30.33,26.19,4.14
1981,245,88.39,10.19,29.78,26,3.78
1981,246,88.24,32.53,29.15,25.46,3.69
1981,247,87.73,3.57,29.73,26.03,3.7
1981,248,88.25,7.07,30.23,25.3,4.93
1981,249,90.66,10.72,29.57,25.78,3.79
1981,250,92.2,5.39,28.64,26.06,2.58
1981,251,88.82,3.95,30.12,25.13,4.99
1981,252,87.29,10.43,29.72,25.83,3.89
1981,253,88.38,19.49,27.91,25.31,2.6
1981,254,86.53,6.11,29.76,25.37,4.39
1981,255,85.39,5.49,30.05,25.8,4.25
1981,256,86.5,9.48,29.43,25.56,3.87
1981,257,82.55,6.75,30.63,25.72,4.91
1981,258,82.79,0.09,29.85,25.9,3.95
1981,259,77.97,0.07,30.9,25.53,5.37
1981,260,73.3,0.09,32.83,24.64,8.19
1981,261,77.31,0.38,32.5,25.43,7.07
1981,262,80.55,1.65,31.47,26.25,5.22
1981,263,78.06,0.84,32.58,26.33,6.25
1981,264,82.13,4.68,32.33,25.7,6.63
1981,265,83.03,0.15,31.69,26.83,4.86
1981,266,86.03,0.28,31.61,26.93,4.68
1981,267,85.24,0.09,31.93,26.87,5.06
1981,268,90,3.42,29.31,25.94,3.37
1981,269,87.58,0.61,29.39,25.16,4.23
1981,270,88.2,3.03,30.71,24.4,6.31
1981,271,87.09,2.89,30.14,25.58,4.56
1981,272,85.84,11.46,30.48,25.77,4.71
1981,273,89.03,15.72,29.44,26.2,3.24
1981,274,87.43,19.31,28.87,25.95,2.92
1981,275,83.41,18.39,29.77,25.74,4.03
1981,276,78.12,11.12,31.03,24.67,6.36
1981,277,80.22,0,30.74,23.05,7.69
1981,278,79.29,0.04,31.12,24.63,6.49
1981,279,76.9,0,30.4,23.68,6.72
1981,280,71.17,0,30.26,24.24,6.02
1981,281,60.51,0,30.74,25.17,5.57
1981,282,68.2,0,30.81,24.43,6.38
1981,283,67.47,0,30.64,24.8,5.84
1981,284,73.14,0,30.54,25.06,5.48
1981,285,73.95,0,31.32,25.49,5.83
1981,286,78.54,0.48,31.26,24.53,6.73
1981,287,82.53,2.59,29.82,25.45,4.37
1981,288,78.02,0.24,29.44,24.6,4.84
1981,289,78.84,0.05,30.44,24.28,6.16
1981,290,82.58,0.02,31.29,23.44,7.85
1981,291,80.68,0.01,30.48,21.68,8.8
1981,292,77.35,0,29.51,21.27,8.24
1981,293,71.72,0,29.52,22.01,7.51
1981,294,73.77,0,29.19,21.45,7.74
1981,295,75.58,0,30.03,20.48,9.55
1981,296,72.99,0,30.4,20.69,9.71
1981,297,70.36,0,30.03,21.58,8.45
1981,298,71.73,0,30.56,21.68,8.88
1981,299,70.58,0,30.72,22.06,8.66
1981,300,72.82,0,30.74,21.96,8.78
1981,301,76.24,0,31.09,22.46,8.63
1981,302,72.93,0,30.08,21.16,8.92
1981,303,71.44,0,29.69,20.16,9.53
1981,304,70.01,0,29.09,18.99,10.1
1981,305,68.33,0,29.55,19.97,9.58
1981,306,72.45,0,29.55,20.29,9.26
1981,307,72.43,0,30.25,20.02,10.23
1981,308,73.8,0,30.62,21.43,9.19
1981,309,78.53,0.15,29.83,23.1,6.73
1981,310,80.73,0.17,30.52,23.49,7.03
1981,311,75.38,0.01,30.33,21.7,8.63
1981,312,71.72,0,29.69,19.95,9.74
1981,313,72.87,0,29.22,19.67,9.55
1981,314,77.13,0,28.16,21.61,6.55
1981,315,71.11,0,28.27,22.51,5.76
1981,316,65.79,0,28.29,20.33,7.96
1981,317,66.27,0,26.72,20.22,6.5
1981,318,64.67,0,28.73,21.42,7.31
1981,319,70.79,0,27.59,17.8,9.79
1981,320,66.03,0,28.86,17.82,11.04
1981,321,64.63,0,30.16,18.94,11.22
1981,322,66.58,0.04,29.67,20.75,8.92
1981,323,68.33,2.83,29.08,21.53,7.55
1981,324,79.65,12.35,29.21,21.58,7.63
1981,325,83.44,7.56,27.22,22.29,4.93
1981,326,74.03,5.87,29.05,21.28,7.77
1981,327,69.66,0.5,28.36,20.07,8.29
1981,328,68.42,0,27.72,18.08,9.64
1981,329,58.92,0,26.46,18.71,7.75
1981,330,53.79,0,26.52,17.59,8.93
1981,331,51.92,0,27.86,18.49,9.37
1981,332,52.85,0,26.59,18.22,8.37
1981,333,59.76,0,28.18,16.82,11.36
1981,334,58.91,0,27.55,18.72,8.83
1981,335,52.82,0,27.02,19.23,7.79
1981,336,59.93,0,27.59,19.29,8.3
1981,337,68.66,0,27.76,19.01,8.75
1981,338,67.26,0,26.92,17.55,9.37
1981,339,66.56,0,26.86,16.33,10.53
1981,340,64.26,0,26.91,17.39,9.52
1981,341,66.52,0,23.81,18.94,4.87
1981,342,80.13,0.03,24.32,18.68,5.64
1981,343,84.13,1.15,24.72,20.08,4.64
1981,344,85.28,3.78,26.61,20.71,5.9
1981,345,90.03,53.33,26.03,21.2,4.83
1981,346,78.48,2.1,26.86,19.02,7.84
1981,347,80,0.04,25.55,16.55,9
1981,348,75.29,0,23.9,14.33,9.57
1981,349,68.86,0,24.47,14.85,9.62
1981,350,67.39,0,23.72,15.29,8.43
1981,351,70.31,0,22.53,11.92,10.61
1981,352,59.59,0,22.88,12.83,10.05
1981,353,58.56,0,23.36,13.8,9.56
1981,354,66.67,0,23.8,11.46,12.34
1981,355,61.95,0,23.49,13.16,10.33
1981,356,64.65,0,24.87,13.42,11.45
1981,357,65.73,0,24.2,14.16,10.04
1981,358,69.9,0,23.51,14.82,8.69
1981,359,70.73,0,24.36,14.25,10.11
1981,360,71.53,0,24.23,13.04,11.19
1981,361,68.2,0,24.39,13.46,10.93
1981,362,66.23,0,24.35,13.57,10.78
1981,363,65.65,0,24.47,13.64,10.83
1981,364,64.33,0,24.1,12.13,11.97
1981,365,62.91,0,24.19,11.88,12.31
1982,1,61.8,0,23.35,12.85,10.5
1982,2,62.76,0,23.81,12.31,11.5
1982,3,61.24,0,23.93,11.21,12.72
1982,4,59.68,0.06,24.25,13.17,11.08
1982,5,59.62,0.02,24.95,14.12,10.83
1982,6,64.06,0.01,24.57,14.95,9.62
1982,7,69.57,0,25.93,16.49,9.44
1982,8,66.32,0,26.22,14.15,12.07
1982,9,58.05,0,25.89,14.27,11.62
1982,10,58.04,0,25.95,14.3,11.65
1982,11,69.38,0.52,26.36,15.04,11.32
1982,12,72.02,0.2,27.11,16.62,10.49
1982,13,62.57,0,25.75,14.89,10.86
1982,14,56.52,0,26.14,12.92,13.22
1982,15,54.1,0,25.73,13.37,12.36
1982,16,55,0,26.34,13.05,13.29
1982,17,55.2,0,25.1,13.62,11.48
1982,18,52.31,0,25.58,12.97,12.61
1982,19,52.21,0,25.64,13.86,11.78
1982,20,58.37,0,25.21,13.37,11.84
1982,21,55.46,0,25.59,12.96,12.63
1982,22,51.63,0,25.77,13.51,12.26
1982,23,51.67,0,28.06,13.31,14.75
1982,24,54.85,0,28.81,14.45,14.36
1982,25,52.79,0,29.38,14.99,14.39
1982,26,47.95,0,30.57,15.67,14.9
1982,27,48.02,0,28.97,16.31,12.66
1982,28,52.09,0,28.73,15.7,13.03
1982,29,52.02,0,28.19,15.67,12.52
1982,30,51.83,0,27.95,15.56,12.39
1982,31,48.59,0,28.32,15.51,12.81
1982,32,46.88,0,27.94,16.95,10.99
1982,33,57.71,0.03,24.86,16.61,8.25
1982,34,54.72,0,26.28,14.58,11.7
1982,35,51.06,0,26.28,13.46,12.82
1982,36,63.83,0.15,25.14,17.06,8.08
1982,37,55.73,0.03,26.51,16.1,10.41
1982,38,48.94,0.03,26.51,13.25,13.26
1982,39,60.84,0,25.73,14.9,10.83
1982,40,52.05,0,25.89,16.66,9.23
1982,41,46.55,0,26.82,14.28,12.54
1982,42,53.78,0,26.46,16.8,9.66
1982,43,50.66,0,27.37,14.91,12.46
1982,44,66.3,0.11,27.75,15.89,11.86
1982,45,73.14,0.38,27.43,18.28,9.15
1982,46,72.87,1.59,28.26,18.08,10.18
1982,47,62.87,0,27.29,18.51,8.78
1982,48,64.22,0.05,28.68,18.85,9.83
1982,49,79.89,0.7,28.02,19.58,8.44
1982,50,75.76,2.28,29.25,20.16,9.09
1982,51,69.57,0.91,28.95,19.15,9.8
1982,52,54.34,0,30.62,18.78,11.84
1982,53,43.59,0,30.77,18.3,12.47
1982,54,48.04,0,30.99,19.83,11.16
1982,55,48.15,0,30.08,18.65,11.43
1982,56,42.87,0,30.66,16.97,13.69
1982,57,36.58,0,29.58,17.44,12.14
1982,58,34.45,0,31.25,16.52,14.73
1982,59,34.92,0,31.73,17.88,13.85
1982,60,45.64,1.82,32,19.33,12.67
1982,61,50.91,0.01,32.13,18.96,13.17
1982,62,58.31,0.02,30.65,18.59,12.06
1982,63,53.02,0,29.79,17.67,12.12
1982,64,43.1,0,28.9,17.31,11.59
1982,65,50.83,7.03,30.25,17.24,13.01
1982,66,60.77,1.71,29.73,19.65,10.08
1982,67,59.04,20.42,30.48,18.32,12.16
1982,68,43.24,0.01,29.93,16.3,13.63
1982,69,42.7,0,32.65,17.97,14.68
1982,70,45.18,0.04,32.46,19.27,13.19
1982,71,57.43,1,32.68,21.51,11.17
1982,72,61.8,0.1,32.62,22.45,10.17
1982,73,43.93,0.01,30.9,18.2,12.7
1982,74,44.17,0,31.01,17.53,13.48
1982,75,56.99,0,32.03,18.93,13.1
1982,76,63.98,0,33.03,19.37,13.66
1982,77,72.11,2.55,31.6,20.09,11.51
1982,78,70.88,3.37,31.5,21.02,10.48
1982,79,63.06,1.09,32.93,22.24,10.69
1982,80,56.6,0,34.41,21.53,12.88
1982,81,51.78,0,34.51,20.9,13.61
1982,82,53.75,0,34.25,20.86,13.39
1982,83,63.24,0,35.06,21.94,13.12
1982,84,57.41,0.41,36.12,23.16,12.96
1982,85,46.99,0.01,35.16,23.43,11.73
1982,86,55.2,1.09,32.51,21.22,11.29
1982,87,50.38,0.08,33.74,21.03,12.71
1982,88,53.33,0,34.26,23.09,11.17
1982,89,64.52,0,34.29,22.93,11.36
1982,90,72.23,0.26,32.69,23.95,8.74
1982,91,76.45,4.65,31.51,25.07,6.44
1982,92,76.98,5.71,31.16,25.31,5.85
1982,93,81,30.12,31.29,25.26,6.03
1982,94,82.11,28.53,31.02,24.39,6.63
1982,95,77.91,2.69,31.46,24.35,7.11
1982,96,74.24,0.06,32.1,24.62,7.48
1982,97,72.98,0.34,32.35,25.11,7.24
1982,98,73.13,0.57,32.42,25.46,6.96
1982,99,72.04,0.14,34.05,24.83,9.22
1982,100,72.68,0,33.01,24.13,8.88
1982,101,72.22,0.12,32.43,23.22,9.21
1982,102,70.49,1.45,32.61,23.26,9.35
1982,103,74.12,9.47,31.58,22.87,8.71
1982,104,72.34,2.39,32.67,22.77,9.9
1982,105,74.91,1.61,31.39,22.53,8.86
1982,106,76.41,12.27,30.99,23.21,7.78
1982,107,77.91,11.25,28.91,23.3,5.61
1982,108,73.97,1.32,28.29,22.43,5.86
1982,109,68.83,0.64,31.23,21.32,9.91
1982,110,74.2,3.79,30.68,23.21,7.47
1982,111,76.82,0.72,31.09,22.96,8.13
1982,112,72.32,0.04,33.1,23.06,10.04
1982,113,70.84,0.27,32.99,23.02,9.97
1982,114,69.88,2.64,33.85,23.94,9.91
1982,115,74.03,4.48,32.52,23.75,8.77
1982,116,70.1,2.38,33.08,23.43,9.65
1982,117,78.74,58.2,31.85,23.78,8.07
1982,118,79.46,6.44,31.7,23.33,8.37
1982,119,80.04,4.06,31.5,23.71,7.79
1982,120,76.84,0.51,31.91,23.4,8.51
1982,121,75.71,0.53,32.27,23.31,8.96
1982,122,73.29,1.32,33.14,23.98,9.16
1982,123,77.9,7.48,31.83,24.18,7.65
1982,124,72.57,2.32,32.27,22.91,9.36
1982,125,82.4,76.11,30.48,23.36,7.12
1982,126,74.43,2.63,33.16,23.37,9.79
1982,127,77.89,0.02,32.63,23.89,8.74
1982,128,84,1.87,31.25,24.22,7.03
1982,129,83.77,0.05,31.37,24.45,6.92
1982,130,82.67,0.17,30.37,24.85,5.52
1982,131,80.57,0.83,31.35,25.15,6.2
1982,132,86.38,11.11,29.97,26.2,3.77
1982,133,85.96,7.24,29.99,26.14,3.85
1982,134,79.87,0.29,30.16,25.87,4.29
1982,135,75.14,0.01,31.35,26.25,5.1
1982,136,79.52,2.82,29.87,26.26,3.61
1982,137,80.57,6.08,29.29,25.92,3.37
1982,138,71.04,2.32,32.38,25.38,7
1982,139,64.03,0,33.58,23.65,9.93
1982,140,60.87,0,34.09,23.47,10.62
1982,141,64.49,0,35,25.88,9.12
1982,142,68.66,0.06,34,25.67,8.33
1982,143,73,0,31.85,25.76,6.09
1982,144,67.17,0.04,33.56,25.95,7.61
1982,145,74.55,0,32.66,26.73,5.93
1982,146,75.59,0.05,33.97,27.16,6.81
1982,147,81.79,0.17,30.76,26.68,4.08
1982,148,79.5,0.42,31.21,26.56,4.65
1982,149,82.36,0.1,30.57,26.16,4.41
1982,150,82.3,1.97,31.34,26.96,4.38
1982,151,75.73,0.45,33.56,26.85,6.71
1982,152,80.82,27.69,31.92,26.44,5.48
1982,153,73.77,0.06,35.62,26.67,8.95
1982,154,76.48,11.89,33.13,26.92,6.21
1982,155,80.88,20.37,31.94,26.23,5.71
1982,156,79.4,1.57,32.81,26.8,6.01
1982,157,75.77,0.39,33.6,27.23,6.37
1982,158,76.7,0.02,33.27,27.57,5.7
1982,159,80.34,0.1,31.83,26.94,4.89
1982,160,86.51,5.66,29.85,26.83,3.02
1982,161,88.65,10.17,29.42,26.56,2.86
1982,162,83.37,12.94,30.34,26.38,3.96
1982,163,82.53,19.83,30.02,26.01,4.01
1982,164,89.4,10.59,28.71,26,2.71
1982,165,84.25,21.27,31.26,25.42,5.84
1982,166,88.73,58.49,29.02,25.3,3.72
1982,167,87.92,1.71,29.83,25.74,4.09
1982,168,87.35,6.32,30.21,26.83,3.38
1982,169,87.12,22.66,29.83,26.03,3.8
1982,170,88.89,35.86,30.11,27.53,2.58
1982,171,88.47,85.83,30.29,26.02,4.27
1982,172,86.42,29.62,30.51,25.57,4.94
1982,173,87.63,1.17,30.14,26.08,4.06
1982,174,88.77,1.88,29.93,26,3.93
